Estimates,RSE,Parameters,Model
0.307,21.1,IIV_V1,69
0.313,20.5,IIV_V1,70
0.0276,13.4,PropErr,61
0.0278,13.5,PropErr,62
0.0279,13.4,PropErr,63
0.0266,13.8,PropErr,64
0.0278,13.3,PropErr,65
0.0275,13.6,PropErr,66
0.0276,13.6,PropErr,67
0.0276,13.6,PropErr,68
0.0276,13.5,PropErr,69
0.0277,13.3,PropErr,70
0.0692,0.0384,Cov_CLr_V1,1
0.0588,0.0391,Cov_CLr_V1,2
0.0672,0.0391,Cov_CLr_V1,3
0.0694,0.0381,Cov_CLr_V1,4
0.0695,0.0375,Cov_CLr_V1,5
0.0649,0.0374,Cov_CLr_V1,6
0.0639,0.0383,Cov_CLr_V1,7
0.0679,0.0379,Cov_CLr_V1,8
0.0684,0.0377,Cov_CLr_V1,9
0.0741,0.0389,Cov_CLr_V1,10
0.0686,0.0386,Cov_CLr_V1,11
0.0721,0.0381,Cov_CLr_V1,12
0.065,0.0373,Cov_CLr_V1,13
0.072,0.038,Cov_CLr_V1,14
0.0681,0.0379,Cov_CLr_V1,15
0.0683,0.038,Cov_CLr_V1,16
0.0648,0.0389,Cov_CLr_V1,17
0.0628,0.0374,Cov_CLr_V1,18
0.0673,0.0379,Cov_CLr_V1,19
0.0657,0.0391,Cov_CLr_V1,20
0.0659,0.0385,Cov_CLr_V1,21
0.0655,0.0386,Cov_CLr_V1,22
0.0685,0.0385,Cov_CLr_V1,23
0.0578,0.0377,Cov_CLr_V1,24
0.0696,0.0383,Cov_CLr_V1,25
0.0661,0.0372,Cov_CLr_V1,26
0.0672,0.0372,Cov_CLr_V1,27
0.0672,0.0383,Cov_CLr_V1,28
0.0701,0.0383,Cov_CLr_V1,29
0.0624,0.0375,Cov_CLr_V1,30
0.0596,0.0376,Cov_CLr_V1,31
0.0687,0.0384,Cov_CLr_V1,32
0.0687,0.0384,Cov_CLr_V1,33
0.0702,0.0404,Cov_CLr_V1,34
0.0747,0.0384,Cov_CLr_V1,35
0.0655,0.0384,Cov_CLr_V1,36
0.0686,0.0385,Cov_CLr_V1,37
0.063,0.0379,Cov_CLr_V1,38
0.0752,0.0387,Cov_CLr_V1,39
0.0721,0.0377,Cov_CLr_V1,40
0.0689,0.0396,Cov_CLr_V1,41
0.0618,0.0374,Cov_CLr_V1,42
0.0636,0.0377,Cov_CLr_V1,43
0.0676,0.0382,Cov_CLr_V1,44
0.0667,0.0392,Cov_CLr_V1,45
